99116	66544	57456	35928	32108
75459	50884	96010	31713	21959
39062	76321	56040	45232	5249
47907	98107	92090	21956	21613
67713	76911	79106	17274	84548
36867	9051	37550	21370	44943
10847	20119	45992	51140	57098
97608	4911	66786	9828	56377
50007	79508	7579	28806	34796
11538	8885	76483	99063	29752
74618	51766	58938	29659	77207
63937	43921	72036	23574	99540
61874	5096	20301	24850	86773
17460	85546	5999	45080	87884
96933	20361	72597	35502	22521
31100	49139	91489	37655	74368
53059	51424	31614	64774	35940
63091	3607	87573	17441	62205
23575	30972	10121	74161	68267
29475	15465	30444	48331	42546
76241	69452	78424	62742	26220
19585	48322	76179	27821	10082
70084	2141	9389	97409	29213
36110	10120	85236	33846	6836
79245	10966	99387	5635	66254
97354	38799	58262	36660	51017
87588	35336	49728	55888	39316
36249	65475	76628	35191	87848
6208	50300	35246	5309	21910
52556	40270	69137	60453	73526
62228	85423	20510	70915	46257
48526	36203	49449	38204	29156
39460	94404	72470	36152	69478
65048	52998	25595	93425	52256
44436	33584	5502	71489	49482
80944	82562	75269	72901	54232
37344	61575	91336	11434	97015
23982	58595	52459	1606	25953
47884	98281	95452	3251	66439
14206	16561	7607	76463	22194
68821	62207	54869	58741	17236
85455	33397	2966	85877	44185
17399	48378	83713	38446	53814
32637	91054	69942	42901	1155
77839	76599	33781	60093	85518
66566	61024	30063	511	17728
55031	69151	35384	82827	40627
39566	45836	30864	71825	91298
27041	4965	52182	84053	73123
75368	90386	83017	33023	45808
85002	24738	53577	45689	37679
6860	77573	7067	20452	19133
54161	14302	38957	67794	81011
37511	90419	34197	5667	72805
5537	29103	16246	82288	41078
9318	37	34419	67274	35478
83368	57599	45080	46843	81262
72767	47344	18383	79	8577
57097	39756	57868	70822	19595
72511	73528	4495	61781	46302
90394	54738	19753	88681	93889
95786	22401	81759	7282	4462
11279	90097	25197	96840	91079
79734	13452	6836	50732	71727
75447	9224	61776	16251	37114
16116	7466	27649	53800	91216
82296	38595	23241	72634	36459
9798	52375	19726	61065	43052
99919	97245	69569	27543	24594
99040	1926	59843	78546	38323
44568	2564	35359	74941	20790
17911	93067	29441	83363	42195
68484	98145	12988	49947	57779
907	90570	85627	88912	96154
19620	66883	2142	56948	73428
94659	80715	31217	34201	46136
91347	54218	13491	77113	32083
29200	33806	78188	58329	95256
70644	64936	68831	70762	98762
68627	76669	54426	14121	44704
25832	56590	12534	37071	68754
84364	43305	93688	87580	74762
82613	24836	94727	20212	33555
83918	9418	12834	1482	93305
44594	81864	87779	84034	8220
90226	73542	9416	70500	19936
55703	63192	78566	41902	26831
82137	93248	8413	46603	15418
50606	39222	80044	62593	64102
27525	12686	24505	53972	94222
66417	4672	84843	23612	78159
94802	40244	94002	76604	98927
54958	37859	65709	15488	26875
18055	99425	87789	50939	77454
82195	95106	68173	24274	91671
26782	81868	72074	53780	20131
94055	40399	3608	72300	5631
41480	80660	43187	37259	23418
41250	93278	69761	69480	91976
90409	27510	75423	88397	55487
83267	9825	21111	95258	96250
83564	65232	10811	61079	39443
78247	92730	33099	51451	94240
6151	64406	90847	81535	90013
70827	95185	30664	83517	66531
94825	47583	64298	98862	50526
14983	3766	58715	33525	42414
96653	85674	49228	80688	22333
31375	30905	43173	90589	13187
74846	62938	76304	18803	81138
55452	83888	63771	12818	42253
56356	23711	71440	4287	24134
94684	35515	35491	84106	61729
41110	45734	69379	33073	85935
79066	50264	84167	33577	62750
19483	29551	21104	31951	10146
84190	95426	60913	78081	75940
76560	94919	90257	96131	87573
4379	62564	16668	35927	98035
64239	74245	95933	27167	58863
32076	93988	10236	60166	34997
38327	13450	89844	87634	68695
50250	8851	64347	57619	2217
65431	72793	8274	7435	37514
1705	2740	12988	27658	10307
79639	32229	18353	11366	84018
8260	59476	69613	84346	3147
32992	79935	91936	35533	2086
23470	53355	17048	37385	10163
63489	60417	60340	72579	65355
34970	74191	8220	37616	928
37914	67848	95302	3165	10800
71010	89512	96457	76355	12737
58441	98914	48567	49605	88254
21319	56559	41155	70940	47323
99938	45331	17577	79925	35039
86780	28965	26618	569	67268
1265	90955	5805	6482	7860
45099	59405	8076	82505	80163
27284	38021	26501	36774	96377
53113	57376	92809	23879	89362
34798	10218	86173	41599	29426
89739	53387	52798	85040	61373
63315	69076	81290	58174	25263
36116	91525	33036	45608	96443
4350	79583	77747	36238	997
15714	85497	91148	86641	62267
27275	86975	41457	68554	22567
81901	75117	54869	70241	94643
32519	36249	41769	33230	60439
11884	35965	81200	80542	20757
78874	87834	12015	26756	95650
92562	62708	13872	13487	96226
16353	71550	69109	65007	3951
99423	16707	68843	91375	8076
87456	8210	75727	46528	23574
83150	97030	62586	75734	29788
35609	60927	79783	96434	97798
61111	94495	84475	59250	8490
55197	56040	50073	41200	80212
3635	81249	15856	75898	99789
97118	87224	69150	54523	81362
7441	49376	67057	1529	79566
47502	46195	81029	7108	26040
77943	18414	67039	82633	25577
72778	81702	91998	80508	59397
43928	60924	78973	80303	16756
18025	8979	55469	96551	64073
36430	12635	19378	51189	69009
26014	75746	73325	46224	519
11917	85595	5206	43491	12946
76007	22741	61337	34290	93778
58079	93581	49705	85940	27478
231	853	6514	82507	55702
1104	48545	90170	97469	8856
85051	65123	85424	29494	2319
77423	40774	6205	6528	18960
14169	95471	42335	12365	2276
19952	60375	29166	14170	93990
33338	25989	49554	40944	84387
67900	45952	48633	38313	92424
25932	38124	84190	76707	42960
27854	82725	84988	36871	40241
99066	41443	6754	41846	28519
70158	55285	31498	13541	49495
97546	14255	50740	30731	2287
28969	51172	43751	59937	70717
54484	805	8082	46815	72170
41107	16962	67162	19010	806
51289	80716	44094	32342	96212
71070	9217	79254	10717	45859
35181	13488	23381	95237	33143
44308	28107	61028	74614	46286
87731	42730	31292	76215	17166
76074	41764	65775	88882	42461
35299	23119	3539	45204	83788
72666	7112	69688	40494	99732
49210	47671	99446	55057	62459
87292	47215	69860	14787	27577
18883	25853	58230	24110	72252
69765	94109	47855	45797	22500
16429	79907	522	91257	11126
11432	58716	78006	53114	52212
53602	93754	53883	13910	61986
54368	44380	353	63503	91888
95248	76685	99522	92554	85160
54533	84086	28029	49180	92691
78036	56213	79636	4868	44116
5359	17373	81244	87690	11540
5521	29938	52611	72299	78743
56370	28167	52626	58524	12201
85480	8614	14529	23439	77233
95907	79064	89897	3654	41058
22287	93656	78303	9694	80777
91682	83378	5204	19411	90230
71409	28727	13806	42589	3400
41979	5123	61619	57687	97413
35510	24616	18995	91353	35021
70	8320	46638	23824	44632
19357	71621	92992	87127	67359
33315	92120	51420	22742	95923
67799	74037	34550	73112	47779
31031	33989	10999	1281	97473
45304	1420	3141	91129	68938
93749	70544	66979	23760	31638
80117	97629	15143	84037	99936
88174	1526	98556	15773	1624
83721	1499	26451	91841	66223
56369	5964	48243	87820	94991
57899	74690	3815	94536	24190
1638	95075	49385	82482	67625
11340	45938	53536	27601	26088
93527	14725	91577	94626	27339
52360	77820	99180	37606	29177
41016	59082	33548	46841	54231
38180	58853	34544	91288	36484
42444	47899	49747	80916	43226
80927	95048	17478	75783	17768
83383	84530	86557	77363	29028
