1,57714
2,36103
3,75817
4,36103
5,36103
6,36103
7,36103
8,36103
9,21894
10,36103
11,36103
12,36103
13,36103
14,36103
15,36103
16,36103
17,21894
18,45550
19,78483
20,61057
21,75815
22,55659
23,41431
24,58463
25,64733
26,35437
27,52727
28,26718
29,50385
30,71727
31,80781
32,53328
33,72767
34,24335
35,9465
36,70919
37,26718
38,22764
39,31638
40,22799
41,69822
42,49351,49876
43,26049
44,21752
45,44300
46,23387
47,55220
48,30578
49,30582
50,37959
51,70585
52,20485
53,25262
54,45790
55,31487
56,31487,63085
57,23252
58,67344
59,24671
60,63788
61,31487,63085
62,33267
63,50025
64,69285
65,55002
66,11311
67,61539,75977
68,46346
69,37258
70,76953
71,63091,76953
72,76953
73,76953
74,31487
75,25544
76,31487
77,46595
78,31487
79,76953
80,4148
81,64372
82,4149
83,510
84,511
85,74586
86,63831
87,1580,40462
88,14098
89,8141
90,42277
91,54465
92,29741
93,9205
94,23585
95,57474
96,75817
97,75817
98,42277
99,57474
100,25306
101,37258
102,76953
103,38084
104,47665
105,24231
106,20580
107,20580
108,5547
109,57481
110,6867
111,67657
112,23775
113,26178
114,61675
115,29741
116,42277
117,66676
118,22530
119,23534
120,42273
121,42277
122,31487,63085
123,29159
124,23533
125,22530
126,26178
127,26174
128,26184
129,57474
130,37112
131,37111
132,7624
133,67344
134,23534
135,73134
136,49818
137,23534
138,57314
139,71701
140,75682
141,42277
142,8477
143,16839
144,37112
145,54465
146,23776
147,42277
148,42273
149,31614
150,37112
151,56824
152,54255
153,56503
154,56504
155,31614
156,23290
157,5547
158,63085,76953
159,23533
160,26178
161,22210
162,54465
163,67657
164,26178
165,23776
166,56504
167,32241
168,41669
169,54255
170,23534
171,22798,57458
172,32241
173,22421
174,22530
175,37258
176,37257
177,41669
178,23776
179,24461
180,22530
181,22530
182,31614
183,26178
184,76953
185,57565
186,27206
187,16692
188,31487,63085
189,23534
190,11311
191,23252
192,55644
193,56824
194,81317
195,638
196,14987
197,14987
198,56824
199,31487
200,37258
201,16692
202,75418
203,9465
204,57474
205,45303
206,27206
207,73111
208,23534
209,23533
210,61014
211,45056
212,31487,63085
213,67657
214,73134
215,37112
216,54465
217,68048
218,41668
219,41669
220,67344
221,3709
222,8397
223,8397
224,37258
225,50738
226,23251
227,3709
228,5168
229,78956
230,11311
231,54255
232,35723
233,15828
234,61703
235,69054
236,21394
237,23447
238,69181
239,54561
240,4047
241,4051
242,4040
243,64372
244,23534
245,57565
246,69054
247,31542
248,50738
249,23776
250,56504
251,248
252,11774
253,57314
254,4755
255,57565
256,79427
257,26178
258,48207
259,57314
260,40106
261,7624
262,823
263,32062
264,7630
265,62299
266,54465
267,26174
268,22530
269,24462
270,24464
271,41054
272,38413
273,7620
274,37112
275,13156
276,41059
277,21834
278,7630
279,55234
280,37258
281,67657
282,42277
283,76163
284,26536
285,1372
286,9085
287,32081
288,48559
289,56454
290,1377
291,62299
292,4520
293,49777
294,624
295,27484
296,3728
297,76740
298,34005
299,10250
300,34999
301,42747
302,42747
303,42747
304,39544
305,60444
306,2911
307,58033
308,80456
309,21368
310,54269
311,54691
312,12287
313,58884
314,54269
315,42747
316,18616
317,80442
318,30017
319,48252
320,5710
321,17271
322,32311
323,46713
324,57521
325,46595
326,76580
327,23776
328,57314
329,66675
330,26178
331,43845
332,43849
333,43846
334,57538
335,23776
336,46595
337,53056
338,21379
339,29741
340,15628
341,58415
342,26178
343,47679
344,23776
345,8396
346,62135
347,66676
348,7531
349,41669
350,56504
351,31614
352,8397
353,21835
354,63475
355,42273
356,42277
357,31487
358,44395
359,76953
360,26178
361,73134
362,15824
363,15824
364,24462
365,24464
366,56504
367,29741
368,62299
369,9890
370,14275
371,12342
372,8397
373,81056
374,31184
375,54465
376,54464
377,54465
378,32629
379,21557
380,21394
381,21394
382,32629
383,36209
384,12770
385,67344
386,75804
387,26178
388,29740
389,26178
390,57314
391,23776
392,10080
393,56415
394,66496
395,9890
396,16691
397,31487
398,75817
399,8477
400,20199
401,66495
402,31487
403,31487,63085
404,75817
405,724
406,12565
407,67344
408,12566
409,624
410,30572
411,51957
